id,product_title,product_description,filename,format,mode,resolution,filesize,retrieved
77278318,Триммер аккумуляторный садовый дачный кусторез, Артикул 77278318 Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/77278318.png,PNG,RGBA,"(246, 328)",160.38,1711019946.8396192
18565737,"Триммер аккумуляторный ZITREK GreenCut 20 (20В, акб 2шт)", Артикул 18565737 Модель GreenCut 20 Гарантийный срок 1 год Тип аккумулятора Li-lon Емкость аккумулятора 1500 мА*ч,res/img/18565737.png,PNG,RGBA,"(246, 328)",18.33,1711019959.368416
113066515,Триммер аккумуляторный садовый дачный кусторез, Артикул 113066515 Модель разборная модель Питание Аккумулятор (в комплекте) Тип двигателя электрический Комплектация Инструкция на русском языке; зарядное устройство -1шт; Лезвия - 2шт; Триммер садовый - 1шт,res/img/113066515.png,PNG,RGBA,"(246, 328)",128.9,1711019970.7137542
151530782,Триммер-газонокосилка аккумуляторный ZITREK GreenCut 20 Pro, Артикул 151530782 Модель GreenCut 20 Pro Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1.5 ма*ч; 1.5,res/img/151530782.png,PNG,RGBA,"(246, 328)",128.13,1711019983.67975
164885226,Триммер для травы аккумуляторный садовый ручной мощный, Артикул 164885226 Количество аккумуляторов в комплекте 2 Страна производства Китай Длина предмета 125 см Длина упаковки 16 см Высота упаковки 89 см Ширина упаковки 11 см,res/img/164885226.png,PNG,RGBA,"(246, 328)",121.28,1711019992.273321
208141196,Триммер садовый, Артикул 208141196 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч Время работы от аккумулятора 60 мин Количество аккумуляторов в комплекте 1 шт. Питание от аккумулятора,res/img/208141196.png,PNG,RGBA,"(246, 328)",146.2,1711020001.138386
145821973,"Леска для триммера звезда 2,4мм 100м", Артикул 145821973 Длина (м) 100 м Вес с упаковкой (кг) 0.7 кг Длина упаковки 13 см Высота упаковки 12 см Ширина упаковки 13 см,res/img/145821973.png,PNG,RGBA,"(246, 328)",90.83,1711020009.142526
81408162,"Катушка для триммера, леска для триммера", Артикул 81408162 Материал изделия алюминий; леска; сталь Комплектация ключ -1 шт; переходник -2 шт; леска для триммера; катушка для триммера; головка для триммера Страна производства Китай Высота предмета 6 см Ширина предмета 6 см Вес с упаковкой (кг) 0.3 кг,res/img/81408162.png,PNG,RGBA,"(246, 328)",154.14,1711020018.06078
202528239,Кусторез триммер садовый аккумуляторный, Артикул 202528239 Модель Ножницы-кусторез аккумуляторные CSH 360 Гарантийный срок 1 год Тип аккумулятора Li-Ion Емкость аккумулятора 1200 мА*ч,res/img/202528239.png,PNG,RGBA,"(246, 328)",157.55,1711020027.292715
209801388,Триммер аккумуляторный для травы садовый, Артикул 209801388 Модель TM600-Li1-ECO; аккумуляторный; мощный Гарантийный срок 5 лет Тип аккумулятора Li-Ion Емкость аккумулятора 2000 мА*ч,res/img/209801388.png,PNG,RGBA,"(246, 328)",133.76,1711020036.9642692
